Year,Region,RPI
2010,Border Region (Excl. Louth),91.3
2011,Border Region (Excl. Louth),76
2012,Border Region (Excl. Louth),64.2
2013,Border Region (Excl. Louth),58.9
2014,Border Region (Excl. Louth),60.4
2015,Border Region (Excl. Louth),62.9
2016,Border Region (Excl. Louth),70.2
2005,Ireland,105.9
2006,Ireland,122
2007,Ireland,131.5
2008,Ireland,123
2009,Ireland,100.9
2010,Ireland,88
2011,Ireland,73
2012,Ireland,63.4
2013,Ireland,64.1
2014,Ireland,74.3
2015,Ireland,82.8
2016,Ireland,88.9